id,index,toxic_sentence,neutral_sentence,lang,content_score,toxic_pairwise_score,toxic_fluency,neutral_fluency,fluency_score
SomethingAwful_4336_am,4336,ማን ደደብና low IQ እንደሆነ ኮመንታችንን አይቶ ህዝብ ይፍረደን። አንተ በጣም የተማርክ ምሁር አይደለህ  አይ ሽብሩ ዲጅታል ወያኔ,አንተ ጥሩ ሰው አይደለህም ፤ በዚህ ሁኔታ ህዝብ ላይ ጥሩ ሰው ሊሆን አይችልም,am,0,1.0,0.5,1.0,1
SomethingAwful_4340_am,4340,በፍፁም እንደ አንዳርጋቸው ያሉ ህይወታቸውን ለወገናቸው መብት በቀጥታም ሆነ በተዘዋዋሪ የሰዉ ጀግኖችን የሚያንጓጥጡትንም ከነዚሁ ቦምብ ጠፍጣፊዎች ለይቼ አላይም።,በፍፁም እንደ አንዳርጋቸው ያሉ ህይወታቸውን ለወገናቸው መብት በቀጥታም ሆነ በተዘዋዋሪ የሰዉ ጀግኖችን የሚያንጓጥጡትንም ለይ,am,1,1.0,1.0,0.5,0
SomethingAwful_4349_am,4349,አሁን ዶ/ር መረራ አራት ኪሎ መግባት እንጂ ስድስት ኪሎ አይፈልግም:: ስድስት ኪሎ ግባ? ጋራባሳ ሂድ,አሁን ዶ/ር መረራ አራት ኪሎ መግባት እንጂ ስድስት ኪሎ አይፈልግም:: ስድስት ኪሎ ግባ? ጋራባሳ ሂድ,am,1,0.5,1.0,1.0,1
SomethingAwful_4354_am,4354,እውነትሽን ነው እኔ እኮ ኬፕታውን መስሎኛል . ጅል,እውነትሽን ነው እኔ እኮ ኬፕታውን መስሎኛል .,am,1,1.0,0.5,1.0,1
SomethingAwful_4358_am,4358,ይህን ጨቅላ ፕሬዚደንት ተብዬ አስታግሰው የሰው መሀይም ኢትዮጵያ በልጆቿ ታፍራ እና ተከብራ ለዘላለም ትኑር,ይህን ፕሬዚደንት ተብዬ አስታግሰው የሰው ችግር ያለበት ኢትዮጵያ በልጆቿ ታፍራ እና ተከብራ ለዘላለም ትኑር,am,1,1.0,0.5,0.5,1
SomethingAwful_4376_am,4376,ተምረህ እንዲ የደደብክ ባትማር ምን ትል ይሆን ነበር??? አለቅላቂ,ተምረህ እንዲህ እንዲህ አድርገህ ባትማር ምን ትል ይሆን ነበር???,am,1,1.0,0.5,1.0,1
SomethingAwful_4383_am,4383,ጁንታ ስትሆን አይመችህም። ደነዝ 27 አመት የት ነበርክ።,ዝም ብትል አይመችህም። ደነዝ 27 አመት የት ነበርክ።,am,1,0.0,1.0,1.0,1
SomethingAwful_4386_am,4386,እስከ መቼ ነው ብሎ ያዘገጁት ላይ Abiy ልከስት ነው ኣሉ። ልዩ የክብር እንግዳ .,እስከ መቼ ነው ብሎ ያዘገጁት ላይ Abiy ልከስት ነው ኣሉ። ልዩ የክብር እንግዳ .,am,1,0.5,0.5,0.5,1
SomethingAwful_4388_am,4388,ኣዎ ኣሁንም ከናንተ ድጋፍ ኣይፈልግም። ድጋፍ ለሚሰጡ ብቻ መንገዱን ክፈቱ በይ ከቻልስ ካልሆነ ዝም በይ። ስትፈልጊ ሚታስሪቢው ስትፈልጊ ምታበይው ህዝብ ኣይደ,እነርሱ አሁንም ከናንተ ጋር ድጋፍ አይፈልግም። ድጋፍ ለሚሰጡ ብቻ መንገዱን ክፈቱ በይ ከቻልስ ካልሆነ ዝም በይ።,am,1,1.0,0.5,1.0,1
SomethingAwful_4403_am,4403,ያንተ አይነት ጅል አይቼም አላውቅም። በቦንብ ላጠፋቹ እችላለው እያለ የኛ ህውብ ስላለ ብቻ ሌላ ትርጉም ልትሰጠው ነው?,አንተ ራስ ወዳድ ነህ፤ የኛ ህውብ ስላለ ብቻ ሌላ ትርጉም ልትሰጠው ነው?,am,0,1.0,1.0,1.0,1
SomethingAwful_4407_am,4407,ከብዙ ኡኡታ በኋላ የመተከል ችግር ከስሩ ሊቀረፍ የተቃረበ ይመስላል ከጅምሩ በእልቂቱ የአመራሮች እጅ አለበት እያሉ ከሞት የተረፉ ተጠቂዎች በግልጽ እየተናገሩ በተደጋጋሚ ጭፍጨፋው እ,ከብዙ ኡኡታ በኋላ የመተከል ችግር ከስሩ ሊቀረፍ የተቃረበ ይመስላል ከጅምሩ በእልቂቱ የአመራሮች እጅ አለበት እያሉ ከሞት የተረ,am,1,0.5,0.5,0.5,1
SomethingAwful_4414_am,4414,ጀግኖች ናቸው፣ ይሄ ጉድ እዚህ አገር ነው ብለው ነው። የሰይጣን ስራ ይገርማል እያሉ ነው።,ጀግኖች ናቸው፣ ይሄ ጉድ እዚህ አገር ነው ብለው ነው። ጥሩ ያልሆነ ሰው ስራ ይገርማል እያሉ ነው።,am,0,0.0,1.0,1.0,1
SomethingAwful_4422_am,4422,መቼም ይህ የአሳምነው ድምፅ ነው ብሎ ያመነ ደንቆሮ መሆን አለበት ።,መቼም ይህ የአሳምነው ድምፅ ነው ብሎ ያመነ ሰው መሆን አለበት ።,am,1,1.0,1.0,1.0,1
SomethingAwful_4433_am,4433,አንተ ደደብ ከዚህ በላይ ምን አባህ እስኪፈጠር ነው ምትጠብቀው? የራስ ሰይጣን ሰይጣንነቱ ለሌላው እስከሆነ ብቻ ለኔ,የራስ ወዳጅነቱ ለሌላው እስከሆነ ብቻ ለኔ,am,0,1.0,0.5,0.5,1
SomethingAwful_4436_am,4436,አንተ የዉሻ ልጅ የጅህን ታገኛለህ ቆይ የንፁሃንን ደም አፍስሰህ በሰልም ምትኖር እንዳይመስልህ ደደብ :,አንተ የሰው ነፍስ የሚጠፋህ ፤ የንፁሃንን ደም አፍስሰህ በሰልም ምትኖር እንዳይመስልህ,am,0,1.0,0.0,1.0,1
SomethingAwful_4446_am,4446,ድንዝዝ፣ የአብይ አህመድን ሴራ ለማወቅ ገና ግማሽ ክፍለ ዘመን ያስፈግሻል። አብይ እያሳሳቀ ገና ኢትዮጵያን ሲያነዳት የዛኔ ይገባሻል,የአብይ አህመድን ሀሰብ ለማወቅ ገና ግማሽ ክፍለ ዘመን ያስፈግሻል። አብይ እያሳሳቀ ገና ኢትዮጵያን ሲያነዳት የዛኔ ይገባሻል,am,0,0.0,0.5,0.5,1
SomethingAwful_4447_am,4447,ዶ/ር ዳንኤል በቀለ ሆይ አንተ የዘር ማጥፋት ወንጀል ተፈፅሟል ብለህ እንድታምን ስንት አማራ ይታረድ ? አብይ አህመድ ሆይ ይህው ይህው መታረዱ ቀጥሏል ው,ዶ/ር ዳንኤል በቀለ ሆይ አንተ በሰብአዊነት የወንጀል ወንጀል ተፈፅሟል ብለህ እንድታምን ስንት አማራ ይታረድ ? አብይ አ,am,1,1.0,0.5,0.5,1
SomethingAwful_4449_am,4449,በቀጣይ ኮሚቴ ተብዬው መጅሊስን ካልተረከብን ሰላትም ዋጂብ አይሆንም ማለታቸው አዲስ አይሆንብንም ምክኒያቱም ሰላት የእስላም መሰረት እንደሆነ ሁሉ ሀጅም የእስላም መሰረት ሆኖ,በቀጣይ ኮሚቴ ተብዬው መጅሊስን ካልተረከብን ሰላትም ዋጂብ አይሆንም ማለታቸው አዲስ አይሆንብንም ምክኒያቱም ሰላት የእስላም,am,1,1.0,0.5,0.5,1
SomethingAwful_4464_am,4464,ስራችሁም አፋችሁም ባለጌ ነው ከስድብ ውጪ ምን ይጠበቃል?,ስራችሁም አፋችሁም ሌላ ማንሳት ትክክል አይደለም፡፡ ከዚያ በላይ ምን ይጠበቃል?,am,0,1.0,1.0,1.0,1
SomethingAwful_4465_am,4465,የሆነማ የተገለባበጠ እና የተዟዟረ ነገርማ አለ፣ ከጭንቅላታቸው ጀምሮ,የሆነማ የተዘበራረቀ ነገርማ አለ፣ ከራስ ወንድም ጀምሮ,am,0,0.5,0.5,0.5,1
SomethingAwful_4469_am,4469,ይሄ ሰውዬ አንድም የወታደር ስነምግባር የሌለው ይሳቅልኛል እያለ የጠጅቤት የሰካራም ወሬ እያመጣ ህዝቡን ማደንዘዝ ይፈልጋል ልጋጋም ለፍዳዳ ቅሌታ ሽማግሌ። ምንነው ሱዳን ላይ ሲሆን ምላስህ ታጠፈ,ይሄ ሰውዬ አንድም የወታደር ስነምግባር የሌለው እየተናገረ ህዝቡን እንዲህ ማደንዘዝ ይፈልጋል ፡፡,am,0,1.0,0.5,1.0,1
SomethingAwful_4472_am,4472,ሳይቸግረው ሰይጣን መስቀል ሰቅሎ ቤቱ ሲወጣ ሲገባ ታወከች ሕይወቱ መልካም እለተ ሰንበት,ሳይቸግረው ቤቱ ሲወጣ ሲገባ ታወከች ሕይወቱ መልካም እለተ ሰንበት,am,1,1.0,0.5,0.5,1
SomethingAwful_4506_am,4506,አንች አረመኔ ጁንታ የመጨረሻ ኑዛዜሽ መሆን አለበት አሮጊት??,አንች የእምነትህ መኖርህ አይቀርም,am,0,1.0,0.5,1.0,1
SomethingAwful_4511_am,4511,ባንዳው ማን እንደሆነ ልብህ ያውቀዋል፡ ባለጌ,ማን እንደሆነ ልብህ ያውቀዋል፡,am,1,1.0,1.0,1.0,1
SomethingAwful_4513_am,4513,የአክሱም ጽዮን ማርያም ቄስ በመምሰል በአክሱም ከተማ በክርስትያኖች ላይ ጭፍጨፋ ሲፈጸም በአይኔ አይቻለሁ ብሎ ለአምነስቲ ኢንተርናሽናል የውሸት መረጃ የሰጠው እና በአሜሪካን ሀገር,የአክሱም ጽዮን ማርያም ቄስ በመምሰል በአክሱም ከተማ በክርስትያኖች ላይ ጭፍጨፋ ሲፈጸም በአይኔ አይቻለሁ ብሎ ለአምነስቲ,am,1,1.0,0.5,0.5,1
SomethingAwful_4517_am,4517,ለቅሶ ፖለቲካ።አደገኛ ሙሾ ታወርጂ የለ።ፓርታይም ሽቀላውን አጣጡፈሽዋል።በርቺ እስክትዬዢ,ፖለቲካ።ደገፊውን ታወርጂ የለ።ፓርታይም ሽቀላውን አጣጡፈሽዋል።በርቺ እስክትዬዢ,am,0,1.0,0.5,0.5,1
SomethingAwful_4519_am,4519,የተንቆቆ ዘረኞ ሽማግሌ በዚ እድሜው ምን የህል ደደብ እንደሆነ አየነገረን ነው .,የተንቆቆ ሽማግሌ በዚ እድሜው ምን እንደሆነ አየነገረን ነው .,am,1,1.0,0.5,0.5,1
SomethingAwful_4523_am,4523,እንዳንተ አይነቱ ላፕቶፕ ላይ ተወዝፎ የሚውል ቦቅቧቃ የአማራ ህዝብ ጠበቃ ሊሆን እይችልም። ልብ ያለው አገሩ ገብቶ ከ,የአማራ ህዝብ ጠበቃ ሊሆን እይችልም። ልብ ያለው አገሩ ገብቶ ከዚያ በላይ መሆን ይችላል።,am,1,1.0,0.5,1.0,1
SomethingAwful_4532_am,4532,ጋንትዝ በእውነት ተሳስተሃል በወንጀል ውስጥ ተከሳሹን ትደግፋለህ ስለሆነም ህዝብን ችላ በማለት በጠቅላይ ሚኒስትሩ ጥፋት ተባባሪ ነዎት ፡፡ ከመንግስት ይ,ጋንትዝ በእውነት ተሳስተሃል በወንጀል ውስጥ ተከሳሹን ትደግፋለህ ስለሆነም ህዝብን ችላ በማለት በጠቅላይ ሚኒስትሩ,am,1,1.0,0.5,0.5,1
SomethingAwful_4563_am,4563,. ከባድ የጦር መሳሪያዎችን ደምስሰን ከጥቅም ውጪ አድረገናል ብሎ መግለጫ ሰጥቶ አልነበር እንዴ ይሄኛው ከየት መጣ ባጫ ግን ጤነኛ ነው? በመለስ ግዜ ኦነግን,ከባድ የጦር መሳሪያዎችን ደምስሰን ከጥቅም ውጪ አድረገናል ብሎ መግለጫ ሰጥቶ አልነበር እንዴ ይሄኛው ከየት መጣ ባጫ ግን ,am,1,1.0,0.5,0.5,1
SomethingAwful_4572_am,4572,አንተ ማለት ወራዳ ሌባ ነህ ሙያህን ሠው ገደልክበት የአማራ እናቶች እንዳይወልዱ ለማምከን ብዙ ሠርተሀል ውሸታም እና አስመሳይ ነህ ገና በፍትህ ፊት ትቆማለህ ሌባ ሌባ ሌባ ገዳይ ki,አንተ ማለት የሙያ ሠው ነህ ፤ የአማራ እናቶች እንዳይወልዱ ለማምከን ብዙ ሠርተሀል ፤ በፍትህ ፊት ትቆማለህ,am,0,1.0,0.0,1.0,1
SomethingAwful_4573_am,4573,ለነገሩ በውቅቱ ተጠቃሚ ስለነበርክ ብዙ ብታውራ አይገርምም ውሻ በበላበት ነው።,ለነገሩ በውቅቱ ተጠቃሚ ስለነበርክ ብዙ ብታውራ አይገርምም,am,1,1.0,0.5,0.5,1
SomethingAwful_4577_am,4577,ምንም የምታደርጊው ነገር ፣ ደካሞች ነሽ ፣ እንደዚህ አይነት ነገር በጭራሽ ማድረግ አትችይም ፣ ወላጆችሽ ይንቁሻል እናም ወንጌልን ከእርስዎ ጋር ያካፍላሉ ፣ ግን እንደዚህ ያሉ ፈተና,ምንም የምታደርጊው ነገር ፣ እንደዚህ አይነት ነገር በጭራሽ ማድረግ አትችይም ፣ ወላጆችሽ ይንቁሻል እናም ወንጌልን ከእርስዎ,am,1,1.0,0.5,0.5,1
SomethingAwful_4579_am,4579,ክፋት ያማረው ደግሞ እንዲህ ይላል ምን ማፈሪያው ነው፡፡ እንዴት የጣቷን ልክ አያውቀውም?,ክፋት ያማረው ደግሞ እንዲህ ይላል ምን ሰው ነው፡፡ እንዴት የጣቷን ልክ አያውቀውም?,am,1,1.0,1.0,1.0,1
SomethingAwful_4580_am,4580,አንድ በእንድ የተንኮል ሴራህ እና የውሸት propaganda አለመሳካኩቱ ደስ ሲል አቦ ። ለማንኛውም ውሃ እየጠጣህ,አንድ በእንድ የተንኮል ስራህ እና የድሮ propaganda አለመሳካኩቱ ደስ ሲል አቦ ። ለማንኛውም ውሃ እየጠጣህ ነው,am,1,0.0,0.5,0.5,1
SomethingAwful_4585_am,4585,ጠቅላይ ሚኒስትሩ አብሮ የኖሩትን ድርጅት ጠላት ብለው ሲጠሩ እንዴት አይሰቀጥጣቸውም? እኔ ለነሱ እሸማቀቃለው። ኢንጅነር ይልቃል,ጠቅላይ ሚኒስትሩ አብሮ የኖሩትን ድርጅት እንዲህ ሲል ሲጠሩ እንዴት አይሰቀጥጣቸውም? እኔ ለነሱ እሸማቀቃለው። ,am,1,1.0,1.0,1.0,1
SomethingAwful_4599_am,4599,መጠግያየ በለው ውንጂ ነገ መሮጥህ ኣይቀርም StopGenocideInTigray AllowAccessToTigray,መጠግያየ በለው ነገ መውቀስህ አይቀርም StopGenocideInTigray AllowAccessToTigray,am,1,1.0,0.5,0.5,1
SomethingAwful_4600_am,4600,ኢንጂነር ምናለ የተጨፈጨፉት አማሮች ግድ ሳይሎት ይህንን ወሬ የምስራች ብለው ይመጣሉ እግዚአብሔርን ይፍሩ።,ኢንጂነር ምናለ የተጎዱት አማሮች ግድ ሳይሎት ይህንን የምስራች ብለው ይመጣሉ እግዚአብሔርን ይፍሩ።,am,1,1.0,1.0,1.0,1
SomethingAwful_4606_am,4606,ነፃ አውጪ ሆኖ ትግል ይቀጥላል . ሰላም ይደፈረሳል . ሁሉም በእኩልነት ማሳተፍ ነው የሚያስፈለገው . ጀዝባ,ነፃ አውጪ ሆኖ ትግል ይቀጥላል . ሰላም ይደፈረሳል . ሁሉም በእኩልነት ማሳተፍ ነው የሚያስፈለገው .,am,1,1.0,0.5,1.0,1
SomethingAwful_4608_am,4608,ሚስቱና ልጆቹ አመሪካን አስቀምጦ ሚስክን የኢትዮጵያ ህዝብ አይዛቹ ተዋጉ እያለ የሚጮህ የሰይጣኖች ቤተሰብ ነው የሚባል ፈርቶ ወይም ሙቶ ነው ወይም በከባድ በሽታ ታሞ ይሆናል በቀን,ሚስቱና ልጆቹ አመሪካን አስቀምጦ ሚስክን የኢትዮጵያ ህዝብ አይዛቹ ተዋጉ እያለ የሚጮህ ቤተሰብ ነው የሚባል ፤ በቀን ውስ,am,1,1.0,0.5,0.5,1
SomethingAwful_4611_am,4611,እንግዲህ የተገለጠላት እውነት ለእኛም እስኪታየን መፀለይ ነው : ግን ምን አለ ሙያውንም ኣብራ ባታሰድብ?????,እንግዲህ የተገለጠላት እውነት ለእኛም እስኪታየን መፀለይ ነው : ግን ምን አለ ሙያውንም ባታሰድብ?????,am,1,1.0,0.5,0.5,1
SomethingAwful_4614_am,4614,ምነው ቅድም ገደል ግቡ ስትል አልነበር ምን እንደ እስስት ትቀያየራለህ?እዚህም የሚጠላህ የለም አልደረስንባችሁም አትድረሱብን ይሄን ማፈርያ ስራ ተ,ምነው ቅድም ግቡ ስትል አልነበር ምን እንደ እስስት ትቀያየራለህ?እዚህም የሚጠላህ የለም አልደረስንባችሁም አትድረሱብን ይሄን አሳ,am,1,1.0,0.5,0.5,1
SomethingAwful_4619_am,4619,ጅቡቲ ሄደህ ዲፕሎማሲ የምትመስል ነገር ይዘህ መጣህና እንደትልቅ ነገር ጉራህን ትነፋባችኋለህ ። አንተ እንኳ ለኢትዮጵያ ለጅቡቲም አትመጥንም ።,ጅቡቲ ሄደህ ዲፕሎማሲ የምትመስል ነገር ይዘህ መጣህና እንደትልቅ ነገር ጉራህን ትነፋባችኋለህ ። አንተ እንኳ ለ,am,1,1.0,1.0,0.5,0
SomethingAwful_4620_am,4620,የሞቀ ሰው ከነ አልጋው ተዘጋጅቷል ፤ እዛው ዛፍ አቅፈህ እደር.ግን አልልህም,የሞቀ ሰው ከነ አልጋው ተዘጋጅቷል ፤ እዛው ዛፍ አቅፈህ እደር.ግን አልልህም,am,1,0.5,0.5,0.5,1
SomethingAwful_4628_am,4628,አይ በርሔ፣ ጊዜ ያለፈብህና የማይገባህ አይነት ትመሥለኛለህ,አይ በርሔ፣ ጊዜ ያለፈብህና የማይገባህ አይነት ነገሮችን ትመሥለኛለህ,am,1,0.0,1.0,1.0,1
SomethingAwful_4649_am,4649,ሎሬት ፀጋዬ ገ/መድህን ሐቅ ለሚለው ፅሁፋቸው ሴኮ ቱሬ የሚባል መርዝ ቋቅ የሚል ትፋቱን ወያኔ አ.አ የገባ ሰሞን በሬድዮ ደጋግሞ ያደነዘዘን ዛሬ ትዝ አለኝ። አይ ጊዜ.ጌዜ ለሁሉም መልስ አለው።,ሎሬት ፀጋዬ ገ/መድህን ሐቅ ለሚለው ፅሁፋቸው ሴኮ ቱሬ የሚባል ሰው አ.አ የገባ ሰሞን በሬድዮ ደጋግሞ ያደ,am,1,0.5,0.5,0.5,1
SomethingAwful_4650_am,4650,ፍቅር ለማስተማር ፖስተር ጴንጦ መሆን አያስፈልግም።,ፍቅር ለማስተማር ፖስተር መሆን አያስፈልግም።,am,1,0.5,1.0,1.0,1
SomethingAwful_4657_am,4657,የተረገምክስ አንተ ክፉ ልብ ያለህ እንዳንተ አይነቱን መጥፎ ሰው ከምድር ያጥፋልን እንክዋን እግር ቤት መምራት የማትችል ሁላ ዶ/ር አብ,የተረገምክስ አንተ ጥሩ ሰው አይደለህም ፤ ምድር ላይ ጥሩ ሰው መኖርህ አይቀርም,am,0,1.0,0.5,1.0,1
SomethingAwful_4660_am,4660,የላዳ ጠባይ ያልለቀቃቸው የራይድ ሾፌሮች አሉ ። አንዱ ደነዝ ሰው አለ ይመችሀል ይለኛል ??,የራይድ ሹሞች ያልለቀቃቸው ሰዎች አሉ ። አንዱ ምን ሊባል ነው ??,am,0,1.0,1.0,1.0,1
SomethingAwful_4679_am,4679,ህወኃት ያን ሁሉ ድርጅት በአሸባሪነት በከሠሰችበት ዘመን አንድም ቀን የዚህ ዐይነት የከፋ የሽብር ድርጊት ኢትዮጵያ ውስጥ ተፈጽሞ አያውቅም።ዛሬ እርቅና አንድነት ሲፈጠር እውነተኛው አሸባሪ ካደፈጠበት ወጣና ሥራውን አሳየ::,ህወኃት ያን ሁሉ ድርጅት በአሸባሪነት በከሠሰችበት ዘመን አንድም ቀን የዚህ ዐይነት የከፋ የሽብር ድርጊት ,am,1,1.0,0.5,0.5,1
SomethingAwful_4685_am,4685,ሳወራ በጣም ነው የምጮኸው፣ አንዳንዶች ደንቆሮ የሚሉም ለዛ ነው ??,ሳወራ በጣም ነው የምጮኸው፣ አንዳንዶች ምንም የሚሉም ለዛ ነው ??,am,0,1.0,0.5,0.5,1
SomethingAwful_4700_am,4700,ጉረኛው «ኢትዮጵያዊነት መገለጫዬ ነው» ትላለህ . ግን ብዙኃኑ ኢትዮጵያዊ በኢትዮጵያዊነት ብየና ውስጥ ይካተት ዘንድ «ሁላችንን እንድትመስል ዳግም አብረን እንበይናት» ሲባል ዋነ,ጉረኛው «ኢትዮጵያዊነት መገለጫዬ ነው» ትላለህ . ግን ብዙኃኑ ኢትዮጵያዊ በኢትዮጵያዊነት ብየና ውስጥ ይካተት ዘንድ «ሁላችንን እንድትመስል,am,1,0.5,0.5,0.5,1
SomethingAwful_4702_am,4702,is አጋሰስ እንደ ሰው ተቆጠረ? ያሳፍራል ሆድ አደር እኮ ነው,አጋሰስ እንደ ሰው ተቆጠረው? ያሳፍራል ፤ ይኸንንም ያሳጣል,am,1,0.5,0.5,1.0,1
SomethingAwful_4707_am,4707,በአማረኛ: - የአፄ ናፋቂ ማለት የጅል ፖአክቲቪስቶች መለክያ ነው: ተወው:: የዘር ፖለቲካም ፌደራሊዝም አለመሆኑ ስላልገባህ አንብ ተማር:: ብዙ ጥራዝ ነጠቅ አዋቂዎች,በአማረኛ: - የአፄ ናፋቂ ማለት የጅል ፖአክቲቪስቶች መለክያ ነው: ተወው:: የዘር ፖለቲካም ፌደራሊዝም አለመ,am,1,1.0,0.5,0.5,1
SomethingAwful_4708_am,4708,ይሄ እኮ ግልፅ ስድብ ነው funny መስሎሽ ከሆነ መሀይም ነሽ ግን ከኅላ አጀንዳ ይዘሽ ነው,ይሄ እኮ ግልፅ ስድብ ነው funny መስሎሽ ከሆነ ትክክል አይደለም ግን ከኅላ አጀንዳ ይዘሽ ነው,am,0,1.0,0.5,0.5,1
SomethingAwful_4718_am,4718,ደደብ ነህ . ላለፉት አራት ዓመታት አሜሪካን ገሃነም ከማድረግ ውጭ እርስዎ እና ቤተሰብዎ ምንም አላደረጉም ፡፡,ላለፉት አራት ዓመታት አሜሪካን ድጋፍ ከማድረግ ውጭ እርስዎ እና ቤተሰብዎ ምንም አላደረጉም ፡፡,am,0,1.0,0.5,1.0,1
SomethingAwful_4721_am,4721,ለአሁንህ ነፃነትህ አንተ ሽንታም በነበርክበት ሰዓት የሷ ጭሁት ነው ነፃነትህን ያስገኘው ክብረ ቢስ።,ለአሁንህ ነፃነትህ በነበርክበት ሰአት የሷ ጭሁት ነው ነፃነትህን ያስገኘው ክብረ ቢስ።,am,1,1.0,1.0,0.5,0
SomethingAwful_4735_am,4735,ፕሮፌሰር ሳይ ሆን ፕሮካንሰር ነው የለም አብደዋል ዛሩ ተነስቶበት ነው ??,ፕሮፌሰር ሳይ ሆን ፕሮካንሰር ነው የለም አብደዋል ዛሩ ተነስቶበት ነው ??,am,1,0.5,0.5,1.0,1
